ApplicationNumber,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,MonthlyLoanPayment,MonthlyIncome,JobTenure,LoanApproved
26231,18,"$26,992.00",586,Employed,Diploma,"$22,432.00",36 months,Single,3,Mortgage,0,Debt Consolidation,0,$623.11,"$2,249.33",3,No
13176,18,"$22,825.00",581,Self-Employed,Master,"$30,457.00",24 months,Single,0,Rent,0,Home Improvement,0,"$1,269.04","$1,902.08",5,No
27751,18,"$75,891.00",522,Employed,Bachelor,"$30,583.00",96 months,Married,2,Mortgage,0,Personal,0,$318.57,"$6,324.25",6,No
20628,18,"$92,094.00",565,Employed,Bachelor,"$72,738.00",36 months,Single,1,Mortgage,0,Vehicle,0,,"$7,674.50",3,No
28773,18,"$35,686.00",554,Employed,Diploma,"$28,021.00",36 months,Married,3,Rent,0,Home Improvement,0,$778.36,"$2,973.83",1,No
25269,18,"$51,003.00",586,Self-Employed,Bachelor,"$17,497.00",72 months,Married,0,Other,0,Vehicle,0,,,3,No
10786,18,"$47,185.00",531,Unemployed,Diploma,"$18,490.00",48 months,Single,2,Rent,0,Home Improvement,1,,"$3,932.08",3,No
20270,18,"$44,425.00",574,Employed,High School,"$33,360.00",24 months,Married,1,Mortgage,0,Home Improvement,0,"$1,390.00","$3,702.08",7,No
26864,18,"$40,600.00",479,Unemployed,Bachelor,"$18,544.00",48 months,Single,3,Mortgage,0,Education,1,$386.33,"$3,383.33",4,No
23279,18,"$15,000.00",621,Employed,Bachelor,"$10,255.00",48 months,Single,0,Other,0,Vehicle,0,$213.65,,1,No
27820,18,"$73,198.00",520,Employed,Bachelor,"$32,865.00",60 months,Married,4,Rent,0,Debt Consolidation,0,$547.75,"$6,099.83",7,No
16143,18,"$30,778.00",504,Employed,Bachelor,"$22,786.00",60 months,Married,2,Rent,0,Home Improvement,0,$379.77,"$2,564.83",7,No
14055,18,"$27,114.00",435,Employed,Diploma,"$16,709.00",24 months,Single,0,Mortgage,0,Home Improvement,0,$696.21,"$2,259.50",3,No
29634,18,"$69,057.00",558,Employed,High School,"$10,931.00",48 months,Married,3,Other,0,Vehicle,0,$227.73,"$5,754.75",5,No
30353,18,"$73,058.00",611,Employed,Doctorate,"$45,086.00",24 months,Married,1,Mortgage,0,Home Improvement,0,,"$6,088.17",9,No
23972,18,"$17,378.00",505,Unemployed,Bachelor,"$18,871.00",48 months,Married,2,Own,0,Vehicle,0,$393.15,"$1,448.17",3,No
17019,18,"$42,480.00",606,Employed,Bachelor,"$10,236.00",96 months,Married,1,Rent,0,Debt Consolidation,0,$106.63,,7,No
24119,18,"$44,383.00",520,Employed,Bachelor,"$23,516.00",120 months,Divorced,0,Mortgage,0,Debt Consolidation,0,$195.97,"$3,698.58",3,No
29385,18,"$40,522.00",524,,Bachelor,"$20,093.00",60 months,Married,1,Mortgage,0,Home Improvement,1,$334.88,"$3,376.83",8,No
16974,18,"$21,493.00",588,Employed,High School,"$53,156.00",48 months,Divorced,1,Other,0,Home Improvement,0,"$1,107.42","$1,791.08",2,No
24079,18,"$103,770.00",557,Employed,Bachelor,"$29,739.00",120 months,Single,1,Mortgage,0,Debt Consolidation,0,$247.83,"$8,647.50",2,No
26914,18,"$59,922.00",548,Employed,High School,"$26,427.00",24 months,Single,1,Mortgage,0,Home Improvement,0,"$1,101.13","$4,993.50",3,No
28248,18,"$98,980.00",523,Employed,Diploma,"$40,539.00",36 months,Married,1,Mortgage,0,Home Improvement,0,,"$8,248.33",7,No
30412,18,"$89,351.00",594,Employed,Bachelor,"$14,756.00",96 months,Single,2,Rent,0,Home Improvement,0,$153.71,"$7,445.92",7,Yes
24848,18,"$30,994.00",604,Employed,Diploma,"$49,557.00",60 months,Married,0,Rent,0,Education,0,$825.95,"$2,582.83",8,No
26481,18,"$104,346.00",501,,Diploma,"$14,110.00",72 months,Married,1,Mortgage,0,Home Improvement,0,,"$8,695.50",8,Yes
15965,18,"$37,381.00",585,Employed,High School,"$14,844.00",36 months,Married,0,Rent,0,Home Improvement,0,$412.33,"$3,115.08",7,No
29906,18,"$47,666.00",561,,Bachelor,"$11,424.00",48 months,Single,2,Mortgage,0,Home Improvement,0,,"$3,972.17",6,No
22853,18,"$90,725.00",575,Unemployed,High School,"$32,973.00",48 months,Widowed,3,Mortgage,0,Education,0,$686.94,"$7,560.42",4,No
13373,18,"$61,479.00",551,Employed,Bachelor,"$10,293.00",36 months,Widowed,0,Rent,0,Personal,0,$285.92,"$5,123.25",4,No
11562,18,"$67,967.00",533,Employed,Diploma,"$42,996.00",96 months,Widowed,2,Rent,0,Home Improvement,0,$447.88,"$5,663.92",1,No
29105,18,"$44,254.00",487,Employed,High School,"$52,673.00",96 months,Single,1,Own,0,Home Improvement,1,$548.68,"$3,687.83",4,No
21804,18,"$133,224.00",585,Employed,Master,"$19,512.00",60 months,Married,3,Other,0,Debt Consolidation,0,$325.20,"$11,102.00",3,Yes
14275,18,"$39,322.00",539,Employed,High School,"$14,070.00",36 months,Married,1,Rent,0,Education,1,$390.83,"$3,276.83",6,No
29929,18,"$47,844.00",575,Self-Employed,High School,"$42,385.00",36 months,Married,4,Rent,0,Home Improvement,0,"$1,177.36","$3,987.00",6,No
22980,18,"$53,506.00",588,Employed,Bachelor,"$23,680.00",48 months,Divorced,1,Mortgage,0,Home Improvement,0,$493.33,"$4,458.83",5,No
24610,18,"$21,928.00",610,Employed,Bachelor,"$10,410.00",96 months,Married,1,Rent,0,Vehicle,0,$108.44,"$1,827.33",5,No
29238,18,"$58,796.00",589,Employed,Bachelor,"$33,937.00",60 months,Divorced,2,Rent,0,Personal,0,$565.62,"$4,899.67",6,No
26813,18,"$21,868.00",525,Self-Employed,Bachelor,"$21,211.00",36 months,Married,1,Rent,0,Education,1,$589.19,"$1,822.33",5,No
18038,18,"$24,680.00",527,Self-Employed,High School,"$41,822.00",12 months,Married,0,Own,0,Education,0,"$3,485.17","$2,056.67",8,No
15517,18,"$35,058.00",504,,High School,"$93,361.00",84 months,Married,0,Mortgage,0,Home Improvement,0,,"$2,921.50",2,No
30423,18,"$62,768.00",545,Self-Employed,High School,"$35,397.00",96 months,Married,0,Own,0,Education,0,$368.72,,7,No
11172,18,"$27,112.00",432,Employed,Master,"$32,743.00",72 months,Divorced,0,Mortgage,0,Home Improvement,0,$454.76,"$2,259.33",4,No
27625,18,"$86,046.00",581,Employed,High School,"$27,672.00",36 months,Single,1,Rent,0,Vehicle,0,$768.67,"$7,170.50",2,No
15347,18,"$103,891.00",610,Employed,Bachelor,"$23,878.00",60 months,Married,0,Mortgage,0,Home Improvement,0,,,3,Yes
18681,18,"$33,279.00",568,Employed,Bachelor,"$13,631.00",48 months,Married,0,Rent,0,Home Improvement,1,$283.98,"$2,773.25",10,No
12685,18,"$39,817.00",589,Employed,Bachelor,"$18,234.00",48 months,Single,2,Mortgage,0,Vehicle,0,$379.88,"$3,318.08",5,No
15859,18,"$52,230.00",521,Self-Employed,High School,"$15,251.00",84 months,Single,5,Rent,0,Home Improvement,0,$181.56,"$4,352.50",0,No
27387,18,"$115,660.00",527,Employed,Bachelor,"$10,937.00",24 months,Single,3,Mortgage,0,Debt Consolidation,0,$455.71,"$9,638.33",7,Yes
16008,18,"$58,800.00",459,Unemployed,Diploma,"$26,622.00",48 months,Married,2,Mortgage,0,Personal,0,$554.63,,12,No
13245,18,"$78,146.00",507,Employed,Master,"$46,340.00",36 months,Divorced,3,Mortgage,0,Education,0,"$1,287.22","$6,512.17",6,No
19973,18,"$69,840.00",439,Self-Employed,Bachelor,"$33,817.00",24 months,Married,3,Other,0,Vehicle,0,"$1,409.04","$5,820.00",5,No
29983,18,"$33,795.00",567,Employed,Master,"$29,066.00",36 months,Single,0,Mortgage,0,Home Improvement,0,$807.39,"$2,816.25",4,No
28389,18,"$22,255.00",602,Employed,Bachelor,"$25,379.00",48 months,Married,1,Other,0,Home Improvement,0,$528.73,"$1,854.58",4,No
